CensusTract,State,County,Urban,Pop2010,OHU2010,GroupQuartersFlag,NUMGQTRS,PCTGQTRS,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,HUNVFlag,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,LATractsVehicle_20,LAPOP1_10,LAPOP05_10,LAPOP1_20,LALOWI1_10,LALOWI05_10,LALOWI1_20,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lakidshalf,lakidshalfshare,laseniorshalf,laseniorshalfshare,lawhitehalf,lawhitehalfshare,lablackhalf,lablackhalfshare,laasianhalf,laasianhalfshare,lanhopihalf,lanhopihalfshare,laaianhalf,laaianhalfshare,laomultirhalf,laomultirhalfshare,lahisphalf,lahisphalfshare,lahunvhalf,lahunvhalfshare,lasnaphalf,lasnaphalfshare,lapop1,lapop1share,lalowi1,lalowi1share,lakids1,lakids1share,laseniors1,laseniors1share,lawhite1,lawhite1share,lablack1,lablack1share,laasian1,laasian1share,lanhopi1,lanhopi1share,laaian1,laaian1share,laomultir1,laomultir1share,lahisp1,lahisp1share,lahunv1,lahunv1share,lasnap1,lasnap1share,lapop10,lapop10share,lalowi10,lalowi10share,lakids10,lakids10share,laseniors10,laseniors10share,lawhite10,lawhite10share,lablack10,lablack10share,laasian10,laasian10share,lanhopi10,lanhopi10share,laaian10,laaian10share,laomultir10,laomultir10share,lahisp10,lahisp10share,lahunv10,lahunv10share,lasnap10,lasnap10share,lapop20,lapop20share,lalowi20,lalowi20share,lakids20,lakids20share,laseniors20,laseniors20share,lawhite20,lawhite20share,lablack20,lablack20share,laasian20,laasian20share,lanhopi20,lanhopi20share,laaian20,laaian20share,laomultir20,laomultir20share,lahisp20,lahisp20share,lahunv20,lahunv20share,lasnap20,lasnap20share,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP
25001010900,Massachusetts,Barnstable County,1,4942,2219,0,102,2.06,0,0,0,0,1,0,4.4,87021,1,1,1,1,1,0,0,1,3401,4511,3401,462,623,462,4511,91.27,623,12.61,758,15.33,1165,23.57,4384,88.7,32,0.64,29,0.6,2,0.04,6,0.12,58,1.17,91,1.85,168,7.59,142,6.41,3401,68.82,462,9.36,594,12.02,849,17.18,3302,66.81,23,0.47,21,0.43,2,0.03,6,0.12,47,0.96,80,1.62,153,6.9,105,4.71,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,742,840,1253,4770,48,42,2,6,74,97,174,151
25001011002,Massachusetts,Barnstable County,1,4157,1800,0,153,3.68,0,0,0,0,0,0,5.5,90000,1,1,1,1,1,0,0,0,2395,3736,2395,533,749,533,3736,89.87,749,18.02,653,15.71,951,22.88,3423,82.35,74,1.78,16,0.38,2,0.04,22,0.54,199,4.78,66,1.58,55,3.05,65,3.62,2395,57.62,533,12.83,447,10.74,519,12.49,2182,52.48,45,1.09,12,0.29,0,0,14,0.34,142,3.42,42,1,21,1.16,39,2.17,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,808,701,1060,3809,88,17,2,25,216,69,75,69
25001011100,Massachusetts,Barnstable County,1,4694,2102,0,9,0.19,0,0,0,0,0,0,4.7,98453,1,1,1,1,1,0,0,0,3740,4453,3740,442,528,442,4453,94.86,528,11.26,757,16.13,1235,26.3,4191,89.29,63,1.33,37,0.78,0,0,14,0.3,148,3.16,69,1.47,16,0.78,80,3.79,3740,79.67,442,9.42,613,13.06,1049,22.35,3527,75.13,47,1.01,31,0.67,0,0,9,0.19,125,2.67,56,1.18,16,0.74,68,3.22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,558,801,1289,4411,63,45,0,16,159,74,12,85
25001011200,Massachusetts,Barnstable County,1,3392,1721,0,7,0.21,0,0,0,0,1,0,8.9,101768,1,1,1,1,1,0,0,1,2677,3133,2677,738,908,738,3133,92.36,908,26.78,423,12.47,1097,32.34,2984,87.96,39,1.15,18,0.54,0,0,11,0.32,81,2.38,33,0.97,112,6.52,128,7.46,2677,78.92,738,21.76,392,11.56,894,26.36,2542,74.95,36,1.05,16,0.47,0,0,11,0.32,72,2.13,32,0.94,82,4.76,107,6.19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,972,470,1202,3224,42,21,0,11,94,35,113,137
25001011300,Massachusetts,Barnstable County,1,2600,1293,0,0,0,0,0,0,0,0,0,5.6,91164,0,1,0,1,0,0,0,0,428,2009,428,68,312,68,2009,77.26,312,12.02,269,10.36,747,28.72,1941,74.66,16,0.62,8,0.31,4,0.17,7,0.27,32,1.23,35,1.33,26,1.98,38,2.97,428,16.46,68,2.63,46,1.79,171,6.57,416,15.99,3,0.1,1,0.02,0,0,2,0.08,7,0.27,4,0.14,6,0.46,8,0.62,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,408,319,983,2518,19,8,8,8,39,39,34,50
25001011400,Massachusetts,Barnstable County,1,2991,1466,0,0,0,0,0,0,0,0,0,12.2,90542,1,1,1,1,1,0,0,0,2841,2991,2841,488,519,488,2991,100,519,17.34,381,12.74,1217,40.69,2867,95.85,38,1.27,9,0.3,1,0.03,7,0.23,69,2.31,77,2.57,24,1.62,124,8.46,2841,94.98,488,16.3,369,12.34,1167,39.01,2724,91.09,32,1.08,8,0.28,1,0.03,6,0.2,69,2.31,72,2.4,24,1.62,117,7.96,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,540,381,1217,2867,38,9,1,7,69,77,23,121
25001011500,Massachusetts,Barnstable County,1,4029,1808,0,114,2.83,1,1,1,0,0,1,13.4,75684,1,1,1,1,1,0,0,0,1837,3625,1837,622,1090,622,3625,89.97,1090,27.05,604,15,955,23.71,3361,83.42,94,2.33,28,0.71,2,0.05,21,0.52,119,2.95,78,1.94,63,3.51,264,14.62,1837,45.6,622,15.45,314,7.8,451,11.21,1720,42.7,37,0.91,13,0.31,1,0.01,8,0.19,59,1.47,36,0.89,29,1.58,131,7.27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1137,663,1090,3744,98,29,2,22,134,86,68,287
25001011600,Massachusetts,Barnstable County,1,2710,1390,0,8,0.3,0,1,0,0,0,1,14.8,71739,0,1,0,1,0,0,0,0,331,1367,331,113,464,113,1367,50.44,464,17.13,186,6.87,400,14.77,1224,45.15,50,1.85,5,0.17,0,0,12,0.43,77,2.85,27,0.98,63,4.55,97,6.95,331,12.23,113,4.17,36,1.33,115,4.25,301,11.11,7,0.26,0,0.01,0,0,5,0.19,18,0.66,3,0.1,18,1.32,25,1.78,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,937,402,642,2391,126,11,0,20,162,68,123,194
25001011700,Massachusetts,Barnstable County,1,1877,971,0,0,0,0,0,0,0,0,0,6.6,92292,1,1,1,1,1,0,0,0,1420,1877,1420,292,368,292,1877,100,368,19.63,212,11.29,645,34.36,1769,94.25,21,1.12,24,1.28,1,0.05,12,0.64,50,2.66,36,1.92,93,9.58,93,9.61,1420,75.66,292,15.55,164,8.72,450,23.96,1340,71.38,16,0.87,16,0.84,1,0.04,11,0.59,36,1.94,34,1.79,79,8.15,70,7.25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,347,212,645,1769,21,24,1,12,50,36,90,90
25001011801,Massachusetts,Barnstable County,0,2403,1297,0,0,0,0,0,0,0,0,0,5.5,94200,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,1403,58.39,193,8.04,123,5.13,608,25.31,1376,57.25,7,0.3,8,0.33,0,0.01,4,0.16,8,0.33,11,0.47,63,4.88,12,0.9,911,37.91,97,4.05,92,3.81,328,13.64,891,37.06,7,0.28,4,0.17,0,0,3,0.12,7,0.28,8,0.33,32,2.5,7,0.56,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,370,200,1210,2358,8,17,1,7,12,19,128,21
25001011802,Massachusetts,Barnstable County,1,4255,1895,0,4,0.09,0,0,0,0,0,0,7.5,79155,1,1,1,1,1,0,0,0,2033,3536,2033,494,938,494,3536,83.09,938,22.04,647,15.21,904,21.25,3371,79.23,30,0.71,34,0.79,0,0,6,0.15,94,2.22,49,1.15,44,2.32,72,3.8,2033,47.79,494,11.6,370,8.7,528,12.42,1936,45.51,19,0.45,19,0.45,0,0,1,0.03,58,1.35,27,0.64,25,1.34,41,2.16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1112,767,1125,4066,38,39,0,9,103,57,48,80
25001012001,Massachusetts,Barnstable County,1,5732,2715,0,101,1.76,1,1,1,0,0,1,6.4,71834,1,1,1,1,1,0,0,0,1557,4933,1557,338,974,338,4933,86.05,974,17,689,12.02,1822,31.78,4656,81.23,104,1.82,31,0.54,0,0,10,0.17,131,2.29,99,1.73,96,3.52,85,3.13,1557,27.16,338,5.9,171,2.98,661,11.53,1488,25.97,24,0.42,4,0.07,0,0,7,0.13,33,0.57,26,0.45,28,1.02,28,1.03,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1074,850,2020,5371,131,54,0,10,166,123,108,90
25001012002,Massachusetts,Barnstable County,1,3007,1494,0,10,0.33,0,1,0,0,0,1,9.5,61711,0,1,0,1,0,0,0,0,227,1285,227,43,257,43,1285,42.75,257,8.54,177,5.9,343,11.4,1155,38.4,42,1.39,23,0.78,0,0,10,0.33,55,1.84,39,1.29,35,2.32,130,8.69,227,7.54,43,1.45,14,0.46,82,2.72,204,6.78,8,0.27,4,0.15,0,0,1,0.03,9,0.31,6,0.21,7,0.44,26,1.74,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,607,503,718,2676,85,75,0,14,157,121,118,259
25001012101,Massachusetts,Barnstable County,0,5339,2330,0,0,0,0,0,0,0,0,0,5,80217,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,5022,94.06,1042,19.51,938,17.57,972,18.21,4496,84.22,140,2.62,38,0.72,1,0.02,25,0.47,321,6.01,178,3.34,69,2.97,94,4.04,3023,56.62,615,11.52,564,10.57,602,11.28,2683,50.25,89,1.66,24,0.45,0,0,15,0.28,212,3.98,107,2,28,1.2,56,2.41,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1110,987,1052,4790,144,43,1,25,336,187,76,97
25001012102,Massachusetts,Barnstable County,1,3057,1498,0,54,1.77,1,1,1,1,1,1,10.9,69659,1,1,1,1,1,0,0,1,2157,2967,2157,540,788,540,2967,97.05,788,25.78,436,14.26,854,27.94,2693,88.11,76,2.49,34,1.11,1,0.03,7,0.23,155,5.08,108,3.53,206,13.74,183,12.2,2157,70.57,540,17.67,305,9.98,633,20.72,1969,64.4,51,1.67,28,0.9,1,0.03,6,0.2,103,3.36,83,2.7,131,8.73,131,8.77,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,805,454,868,2770,80,34,1,7,165,114,205,176
